;;;Población Menor 1 año (Meta;BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS);;HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Primeras 12 Horas);;HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Despues de las Primeras 12 Horas);;HB RECIEN NACIDO (HASTA 29 DÍAS) (Primeras 12 Horas)+ Despues de las primeras 12 horas;;"ANTIPOLIO INACTIVADA (VIP) PARENTERAL
<  DE 1 AÑO";;VOP <DE1 AÑO + VIP <1AÑO 3as;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS;;ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS;;FLU DE 6 MESES A 11 MESES ;;FLU DE 6 MESES A 11 MESES ;;Neumo (2 a 11 Meses 29 Dias);;Neumo (2 a 11 Meses 29 Dias);;Población de 1 Año (Meta;SRP (T.V.) DE UN AÑO;;"VARICELA DE 1 AÑO
1a";;F.A. 1 AÑO;;Neumo de (12 meses a 23 Meses);;Neumo de (12-23 Meses);;Neumo de (12-23 Meses);Neumo de (24- 35 Meses);"HA
1 AÑO";;VOP Al año de la 3ra Dosis;;DPT Al año de la 3ra Dosis;;Población 5 años (Meta;VOP 5 AÑOS;;DPT 5 AÑOS;;SRP (T.V.) 5 AÑOS;;FLU de 19 a 49 años ÚNICA;FLU de 50 años y más;Gestantes a partir de la semana 14;TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS  ;;VPH;;;;
17;17;CALDAS; 10,175 ;8,759;86.10;8,622;84.70;64;0.60;8,686;85.40;8,882;87.30;9,887;97.20;8,780;86.30;8,909;87.60;9,848;96.79;8,767;86.20;9,491;93.30;8,424;110.40; 7,074 ;92.70;8,844;86.90;9,892;97.20; 10,331 ;9,994;96.70;9,981;96.60;9,632;93.20;9,800;94.90;116;1.12;407;34;10,041;97.20;9,022;87.30;9,124;88.30;11,389;9,641; 84.7 ;9,738; 85.5 ;9,018; 79.2 ;5,402;39,104;6,903;11,263;110.7;6,531;2,029;31.1;723;ANDINA
18;18;CAQUETA; 7,880 ;7,285;92.40;4,681;59.40;2,389;30.30;7,070;89.70;7,177;91.10;6,819;86.50;7,177;91.10;7,044;89.40;6,823;86.59;6,747;85.60;6,738;85.50;6,646;112.50; 5,157 ;87.30;7,185;91.20;7,046;89.40; 7,870 ;7,325;93.10;7,315;92.90;7,635;97.00;7,160;91.00;85;1.08;148;100;7,343;93.30;6,216;79.00;6,216;79.00;8,384;7,022; 83.8 ;7,021; 83.7 ;7,076; 84.4 ;2,217;11,608;6,474;6,217;78.9;3,889;1,454;37.4;346;AMAZONIA
85;85;CASANARE; 7,308 ;6,053;82.80;5,947;81.40;35;0.50;5,982;81.90;6,461;88.40;6,500;88.90;6,471;88.50;6,601;90.30;6,497;88.90;6,405;87.60;6,533;89.40;6,287;114.70; 5,203 ;94.90;6,469;88.50;6,565;89.80; 7,411 ;6,835;92.20;6,827;92.10;7,037;95.00;6,846;92.40;15;0.20;26;35;6,851;92.40;6,613;89.20;6,612;89.20;7,687;7,057; 91.8 ;7,056; 91.8 ;7,055; 91.8 ;2,376;11,389;5,376;5,460;74.7;3,246;906;27.9;241;LLANOS
19;19;CAUCA; 22,109 ;16,596;75.10;14,272;64.60;1,944;8.80;16,216;73.30;19,546;88.40;20,543;92.90;19,548;88.40;19,797;89.50;20,547;92.94;19,020;86.00;19,352;87.50;18,890;113.90; 14,340 ;86.50;19,571;88.50;19,960;90.30; 22,724 ;21,279;93.60;21,097;92.80;18,806;82.80;21,362;94.00;87;0.38;179;133;21,134;93.00;18,884;83.10;18,896;83.20;23,406;20,863; 89.1 ;20,845; 89.1 ;20,858; 89.1 ;5,429;45,100;15,132;16,179;73.2;10,592;3,474;32.8;738;PACIFICO
20;20;CESAR; 23,192 ;22,214;95.80;21,069;90.80;400;1.70;21,469;92.60;23,437;101.10;22,560;97.30;23,433;101.00;23,095;99.60;22,573;97.33;21,520;92.80;20,946;90.30;20,959;120.50; 15,682 ;90.20;25,013;107.90;23,750;102.40; 23,773 ;24,429;102.80;24,178;101.70;21,647;91.10;23,830;100.20;1286;5.41;1091;1788;24,789;104.30;20,559;86.50;20,519;86.30;25,149;22,543; 89.6 ;22,464; 89.3 ;22,564; 89.7 ;6,433;27,847;18,907;20,879;90.0;9,539;2,759;28.9;485;CARIBE
27;27;CHOCO; 10,788 ;9,441;87.50;5,750;53.30;1,346;12.50;7,096;65.80;10,886;100.90;9,192;85.20;10,889;100.90;10,000;92.70;9,199;85.27;8,622;79.90;8,446;78.30;9,353;115.60; 5,556 ;68.70;10,798;100.10;9,948;92.20; 11,304 ;10,747;95.10;10,841;95.90;11,099;98.20;10,169;90.00;254;2.25;699;107;10,896;96.40;6,780;60.00;6,781;60.00;11,469;8,816; 76.9 ;8,815; 76.9 ;8,878; 77.4 ;2,055;6,203;6,777;6,937;64.3;4,485;1,342;29.9;356;PACIFICO
23;23;CORDOBA; 31,959 ;26,796;83.80;24,747;77.40;1,316;4.10;26,063;81.60;27,894;87.30;27,831;87.10;27,829;87.10;27,914;87.30;27,811;87.02;27,204;85.10;27,417;85.80;26,537;110.70; 20,960 ;87.40;27,915;87.30;27,938;87.40; 32,140 ;29,019;90.30;28,999;90.20;27,002;84.00;28,682;89.20;219;0.68;286;510;29,043;90.40;26,943;83.80;27,030;84.10;33,063;28,619; 86.6 ;28,658; 86.7 ;28,656; 86.7 ;11,689;26,705;23,031;24,452;76.5;15,629;3,780;24.2;694;CARIBE
25;25;CUNDINAMARCA; 34,881 ;17,249;49.50;14,295;41.00;2,837;8.10;17,132;49.10;31,368;89.90;33,684;96.60;31,361;89.90;32,643;93.60;33,683;96.57;31,053;89.00;32,361;92.80;29,321;112.10; 20,636 ;78.90;31,528;90.40;32,691;93.70; 36,013 ;35,425;98.40;35,601;98.90;32,690;90.80;35,324;98.10;218;0.61;198;510;36,087;100.20;32,802;91.10;32,850;91.20;38,315;35,614; 93.0 ;35,720; 93.2 ;35,729; 93.3 ;15,669;79,230;19,870;25,694;73.7;20,541;4,647;22.6;737;ANDINA
94;94;GUAINIA; 842 ;1,048;124.50;861;102.30;7;0.80;868;103.10;1,034;122.80;893;106.10;1,033;122.70;943;112.00;893;106.06;822;97.60;789;93.70;790;125.10; 552 ;87.40;1,044;124.00;938;111.40; 884 ;1,032;116.70;1,019;115.30;1,045;118.20;946;107.00;67;7.58;104;76;1,042;117.90;648;73.30;649;73.40;950;828; 87.2 ;830; 87.4 ;847; 89.2 ;2,097;2,311;544;681;80.9;319;208;65.2;8;AMAZONIA
95;95;GUAVIARE; 1,379 ;1,331;96.50;1,224;88.80;72;5.20;1,296;94.00;1,322;95.90;1,368;99.20;1,322;95.90;1,340;97.20;1,370;99.35;1,261;91.40;1,285;93.20;1,000;96.70; 884 ;85.50;1,328;96.30;1,357;98.40; 1,386 ;1,403;101.20;1,410;101.70;1,435;103.50;1,419;102.40;5;0.36;11;8;1,404;101.30;1,220;88.00;1,221;88.10;1,673;1,336; 79.9 ;1,336; 79.9 ;1,343; 80.3 ;519;1,456;1,003;1,183;85.8;740;290;39.2;108;AMAZONIA
41;41;HUILA; 20,109 ;19,127;95.10;18,258;90.80;872;4.30;19,130;95.10;18,631;92.70;18,544;92.20;18,627;92.60;18,699;93.00;18,541;92.20;18,406;91.50;18,514;92.10;16,158;107.10; 13,220 ;87.70;18,614;92.60;18,676;92.90; 20,502 ;19,559;95.40;19,414;94.70;18,310;89.30;19,414;94.70;65;0.32;90;119;19,790;96.50;18,483;90.20;18,478;90.10;20,876;19,904; 95.3 ;19,907; 95.4 ;19,935; 95.5 ;4,633;34,205;14,210;16,948;84.3;9,964;2,908;29.2;798;ANDINA
44;44;LA_GUAJIRA; 21,078 ;21,362;101.30;17,601;83.50;2,126;10.10;19,727;93.60;21,130;100.20;19,098;90.60;21,134;100.30;19,525;92.60;19,096;90.60;18,444;87.50;17,678;83.90;18,662;118.10; 12,509 ;79.10;21,873;103.80;19,797;93.90; 21,574 ;20,981;97.30;20,701;96.00;14,063;65.20;20,194;93.60;1127;5.22;1099;2784;21,052;97.60;14,174;65.70;14,177;65.70;22,023;17,215; 78.2 ;17,229; 78.2 ;17,221; 78.2 ;3,844;11,092;14,483;14,547;69.0;8,009;2,353;29.4;368;CARIBE
47;47;MAGDALENA; 17,436 ;13,561;77.80;12,833;73.60;302;1.70;13,135;75.30;16,313;93.60;16,302;93.50;16,315;93.60;16,360;93.80;16,293;93.44;15,692;90.00;15,861;91.00;14,206;108.60; 10,411 ;79.60;16,370;93.90;16,317;93.60; 17,950 ;17,056;95.00;17,095;95.20;15,466;86.20;16,870;94.00;346;1.93;387;577;17,227;96.00;15,387;85.70;15,357;85.60;18,959;16,423; 86.6 ;16,442; 86.7 ;16,442; 86.7 ;5,667;12,825;12,613;13,323;76.4;7,950;1,855;23.3;253;CARIBE
47001;47001;SANTA MARTA; 9,091 ;8,574;94.30;7,400;81.40;792;8.70;8,192;90.10;8,466;93.10;7,941;87.40;8,394;92.30;8,247;90.70;7,956;87.52;7,970;87.70;7,746;85.20;6,992;102.50; 4,710 ;69.10;8,240;90.60;8,103;89.10; 9,130 ;8,400;92.00;8,275;90.60;7,181;78.70;7,823;85.70;159;1.74;167;290;8,460;92.70;7,179;78.60;7,389;80.90;9,458;7,473; 79.0 ;7,651; 80.9 ;7,462; 78.9 ;5,867;11,621;6,434;6,602;72.6;4,490;856;19.1;171;CARIBE
50;50;META; 16,000 ;15,334;95.80;15,333;95.80;43;0.30;15,376;96.10;14,829;92.70;14,453;90.30;14,849;92.80;14,819;92.60;14,425;90.16;14,364;89.80;14,473;90.50;11,777;98.10; 8,358 ;69.70;15,512;97.00;15,739;98.40; 16,307 ;15,395;94.40;15,392;94.40;15,823;97.00;16,054;98.40;121;0.74;271;208;15,760;96.60;14,171;86.90;14,171;86.90;17,196;14,894; 86.6 ;14,786; 86.0 ;14,901; 86.7 ;12,566;23,107;9,477;12,268;76.7;7,554;2,505;33.2;351;LLANOS
52;52;NARIÑO; 21,309 ;18,534;87.00;17,149;80.50;933;4.40;18,082;84.90;18,614;87.40;18,259;85.70;18,617;87.40;18,486;86.80;18,253;85.66;18,039;84.70;18,072;84.80;15,030;94.00; 13,041 ;81.60;18,726;87.90;18,518;86.90; 21,730 ;19,585;90.10;19,691;90.60;18,065;83.10;19,386;89.20;269;1.24;183;499;19,748;90.90;18,156;83.60;18,162;83.60;23,264;19,227; 82.6 ;19,209; 82.6 ;19,236; 82.7 ;8,033;72,349;15,043;15,901;74.6;12,326;7,023;57.0;4,070;PACIFICO
54;54;NORTE_DE_SANTANDER; 23,758 ;20,619;86.80;20,132;84.70;179;0.80;20,311;85.50;22,131;93.20;22,414;94.30;22,162;93.30;21,924;92.30;22,065;92.87;21,426;90.20;20,965;88.20;21,995;123.40; 15,901 ;89.20;23,224;97.80;22,032;92.70; 24,173 ;22,408;92.70;19,435;80.40;24,573;101.70;21,682;89.70;798;3.30;734;540;23,439;97.00;18,663;77.20;18,701;77.40;24,111;20,319; 84.3 ;20,381; 84.5 ;20,241; 83.9 ;8,868;40,207;18,482;18,385;77.4;11,287;2,522;22.3;407;ANDINA
86;86;PUTUMAYO; 4,936 ;4,142;83.90;3,837;77.70;258;5.20;4,095;83.00;4,709;95.40;4,700;95.20;4,712;95.50;4,736;95.90;4,699;95.20;4,574;92.70;4,612;93.40;3,152;85.10; 2,778 ;75.00;4,725;95.70;4,735;95.90; 5,039 ;4,906;97.40;4,788;95.00;5,144;102.10;4,850;96.20;36;0.71;37;116;4,953;98.30;4,469;88.70;4,488;89.10;5,554;4,891; 88.1 ;4,911; 88.4 ;4,945; 89.0 ;1,314;9,326;3,438;3,967;80.4;2,820;1,313;46.6;401;AMAZONIA
63;63;QUINDIO; 5,929 ;5,792;97.70;4,853;81.90;895;15.10;5,748;96.90;5,570;93.90;5,699;96.10;5,571;94.00;5,641;95.10;5,698;96.10;5,517;93.10;5,549;93.60;5,727;128.80; 4,573 ;102.80;5,610;94.60;5,655;95.40; 5,894 ;5,891;99.90;5,941;100.80;5,578;94.60;5,838;99.00;63;1.07;51;85;6,245;106.00;5,620;95.40;5,628;95.50;6,259;5,970; 95.4 ;5,956; 95.2 ;5,982; 95.6 ;5,443;26,440;5,162;5,045;85.1;3,791;1,277;33.7;369;ANDINA
66;66;RISARALDA; 10,840 ;10,772;99.40;10,161;93.70;424;3.90;10,585;97.60;10,206;94.20;10,254;94.60;10,209;94.20;10,169;93.80;10,244;94.50;9,987;92.10;9,998;92.20;8,568;105.40; 6,847 ;84.20;10,331;95.30;10,361;95.60; 11,014 ;10,662;96.80;10,742;97.50;9,978;90.60;10,551;95.80;165;1.50;185;274;10,824;98.30;10,429;94.70;10,446;94.80;12,348;11,095; 89.9 ;10,987; 89.0 ;11,038; 89.4 ;5,543;43,677;6,824;9,103;84.0;6,910;1,801;26.1;429;ANDINA
88;88;SAN_ANDRES_ISLAS; 895 ;743;83.00;213;23.80;526;58.80;739;82.60;789;88.20;815;91.10;785;87.70;799;89.30;824;92.07;761;85.00;779;87.00;684;101.90; 587 ;87.40;790;88.30;796;88.90; 916 ;820;89.50;811;88.50;752;82.10;818;89.30;0;0.00;1;3;821;89.60;773;84.40;776;84.70;926;825; 89.1 ;828; 89.4 ;829; 89.5 ;1,798;2,054;697;688;76.9;440;81;18.4;8;CARIBE
68;68;SANTANDER; 32,581 ;28,657;88.00;28,602;87.80;109;0.30;28,711;88.10;28,702;88.10;28,717;88.10;28,794;88.40;28,749;88.20;28,753;88.25;28,410;87.20;28,436;87.30;27,870;114.10; 22,475 ;92.00;28,811;88.40;28,889;88.70; 32,919 ;29,716;90.30;29,652;90.10;27,513;83.60;29,606;89.90;231;0.70;268;449;30,090;91.40;27,280;82.90;27,476;83.50;33,449;28,233; 84.4 ;28,322; 84.7 ;28,130; 84.1 ;24,805;79,100;24,207;24,608;75.5;15,211;3,857;25.4;877;ANDINA
70;70;SUCRE; 14,817 ;14,776;99.70;9,801;66.10;4,936;33.30;14,737;99.50;15,132;102.10;15,111;102.00;15,137;102.20;15,038;101.50;15,122;102.06;14,563;98.30;14,458;97.60;11,609;104.50; 10,249 ;92.20;15,246;102.90;15,198;102.60; 15,218 ;15,308;100.60;15,232;100.10;13,987;91.90;15,251;100.20;67;0.44;135;162;15,381;101.10;13,898;91.30;13,905;91.40;17,425;15,230; 87.4 ;15,247; 87.5 ;15,299; 87.8 ;4,095;25,900;12,478;13,542;91.4;7,967;1,917;24.1;109;CARIBE
73;73;TOLIMA; 18,286 ;15,258;83.40;14,052;76.80;1,025;5.60;15,077;82.50;17,233;94.20;17,361;94.90;17,236;94.30;17,205;94.10;17,353;94.90;17,062;93.30;17,001;93.00;16,389;119.50; 13,725 ;100.10;17,396;95.10;17,509;95.80; 18,351 ;18,184;99.10;18,166;99.00;16,624;90.60;18,323;99.80;70;0.38;115;238;18,401;100.30;16,723;91.10;16,765;91.40;19,998;17,835; 89.2 ;18,026; 90.1 ;17,631; 88.2 ;19,348;45,550;11,189;14,143;77.3;11,203;3,042;27.2;560;ANDINA
76;76;VALLE_DEL_CAUCA; 51,379 ;46,624;90.70;45,361;88.30;624;1.20;45,985;89.50;52,054;101.30;51,981;101.20;51,790;100.80;52,278;101.70;52,121;101.44;51,609;100.40;51,990;101.20;41,491;107.70; 32,324 ;83.90;51,938;101.10;52,468;102.10; 52,858 ;52,751;99.80;53,373;101.00;51,176;96.80;52,531;99.40;1962;3.71;1021;1905;52,766;99.80;51,449;97.30;51,404;97.20;55,526;53,212; 95.8 ;54,054; 97.3 ;53,352; 96.1 ;44,542;129,202;31,734;38,512;75.0;27,948;13,480;48.2;9,753;PACIFICO
76109;76109;BUENAVENTURA; 5,113 ;4,481;87.60;4,036;78.90;268;5.20;4,304;84.20;4,575;89.50;3,958;77.40;4,586;89.70;4,287;83.80;3,955;77.35;4,023;78.70;3,873;75.70;4,143;108.00; 2,977 ;77.60;4,523;88.50;4,151;81.20; 5,113 ;4,608;90.10;4,584;89.70;3,083;60.30;4,393;85.90;117;2.29;159;251;4,624;90.40;3,177;62.10;3,171;62.00;6,010;3,914; 65.1 ;3,927; 65.3 ;3,743; 62.3 ;5,021;5,474;3,951;3,754;73.4;3,373;556;16.5;70;PACIFICO
97;97;VAUPES; 828 ;782;94.40;273;33.00;323;39.00;596;72.00;778;94.00;645;77.90;779;94.10;714;86.20;641;77.42;669;80.80;636;76.80;592;95.30; 428 ;68.90;774;93.50;712;86.00; 861 ;723;84.00;738;85.70;757;87.90;676;78.50;15;1.74;29;21;731;84.90;608;70.60;610;70.80;823;720; 87.5 ;708; 86.0 ;719; 87.4 ;409;958;444;503;60.7;344;215;62.5;26;AMAZONIA
99;99;VICHADA; 1,841 ;1,682;91.40;858;46.60;227;12.30;1,085;58.90;1,874;101.80;1,267;68.80;1,865;101.30;1,588;86.30;1,273;69.15;1,284;69.70;1,185;64.40;1,311;94.90; 791 ;57.30;1,923;104.50;1,546;84.00; 1,895 ;1,817;95.90;1,736;91.60;1,842;97.20;1,434;75.70;238;12.56;266;185;1,819;96.00;956;50.40;945;49.90;1,874;1,307; 69.7 ;1,312; 70.0 ;1,280; 68.3 ;1,363;2,322;1,145;1,162;63.1;711;237;33.3;39;LLANOS
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;727193;692174;95.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
