;;;BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS);;HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Primeras 12 Horas);;HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Despues de las Primeras 12 Horas);;HB RECIEN NACIDO (HASTA 29 DÍAS) (Primeras 12 Horas)+ Despues de las primeras 12 horas;;"ANTIPOLIO INACTIVADA (VIP) PARENTERAL
<  DE 1 AÑO";;VOP <DE1 AÑO + VIP <1AÑO 3as;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS;;ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS;;FLU DE 6 MESES A 11 MESES ;;FLU DE 6 MESES A 11 MESES ;;Neumo (2 a 11 Meses 29 Dias);;Neumo (2 a 11 Meses 29 Dias);;Población de 1 Año;SRP (T.V.) DE UN AÑO;;"VARICELA DE 1 AÑO
1a";;"HA
1 AÑO";;F.A. 1 AÑO;;Neumo de (12 meses a 23 Meses);;Neumo de (12-23 Meses);;Neumo de (12-23 Meses);Neumo de (24- 35 Meses);VOP Al año de la 3ra Dosis;;DPT Al año de la 3ra Dosis;;Población 5 años;VOP 5 AÑOS;;DPT 5 AÑOS;;SRP (T.V.) 5 AÑOS;;VARICELA DE 5 AÑOS;;FLU DE 18 A 40 AÑOS UNICA;FLU DE 41 A 59 AÑOS UNICA;Población > de 60 años;FLU DE 60 AÑOS Y MAS;;FLU Gestantes a partir de la semana 14;;TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS  ;;VPH Niñas de 9 años;;;;;
17;CALDAS; 9,282 ;8,355;90.00;8,286;89.30;55;0.60;8,341;89.90;8,470;91.30;8,929;96.20;8,464;91.20;8,496;91.50;8,933;96.20;8,505;91.60;8,605;92.70;8,154;87.80;6,974;75.10;8,599;92.60;8,649;93.20; 9,958 ;9,611;96.5;9,631;96.70;9,637;96.80;9,339;93.80;9,397;94.40;197;1.98;90;131;9,393;94.30;9,454;94.90;10,848;10,029; 92.5 ;10,102; 93.1 ;10,061; 92.7 ;4,041; 74.5 ;3,951;7,627;47,979;38,357;79.9;7,151; 77.0 ;7,629; 82.2 ;6,531;2,491; 38.1 ;871; 13.3 ;ANDINA
18;CAQUETA; 7,487 ;7,160;95.60;5,767;77.00;1,239;16.50;7,006;93.60;7,173;95.80;6,798;90.80;7,172;95.80;7,003;93.50;6,801;90.80;6,814;91.00;6,735;90.00;6,216;83.00;4,625;61.80;7,187;96.00;7,009;93.60; 7,495 ;7,033;93.8;7,042;94.00;7,049;94.00;7,293;97.30;6,919;92.30;65;0.87;108;73;6,416;85.60;6,418;85.60;8,021;6,834; 85.2 ;6,835; 85.2 ;6,896; 86.0 ;2,600; 64.8 ;4,060;3,662;13,446;9,116;67.8;5,212; 69.6 ;5,931; 79.2 ;3,889;1,605; 41.3 ;457; 11.8 ;AMAZONIA
85;CASANARE; 6,513 ;6,365;97.70;6,261;96.10;32;0.50;6,293;96.60;6,298;96.70;6,287;96.50;6,298;96.70;6,311;96.90;6,288;96.50;6,277;96.40;6,389;98.10;5,603;86.00;4,681;71.90;6,364;97.70;6,375;97.90; 6,661 ;6,460;97.0;6,440;96.70;6,477;97.20;6,625;99.50;6,455;96.90;13;0.20;14;26;6,461;97.00;6,463;97.00;7,297;7,027; 96.3 ;6,980; 95.7 ;7,017; 96.2 ;2,721; 74.6 ;1,119;1,364;9,326;7,543;80.9;4,833; 74.2 ;5,219; 80.1 ;3,345;1,142; 34.1 ;330; 9.9 ;LLANOS
19;CAUCA; 21,088 ;15,193;72.00;13,267;62.90;1,602;7.60;14,869;70.50;18,493;87.70;19,069;90.40;18,480;87.60;18,534;87.90;19,046;90.30;18,103;85.80;18,311;86.80;17,887;84.80;14,151;67.10;18,571;88.10;18,645;88.40; 22,008 ;19,923;90.5;18,926;86.00;19,551;88.80;18,985;86.30;19,801;90.00;74;0.34;106;133;19,042;86.50;18,961;86.20;22,702;20,256; 89.2 ;20,182; 88.9 ;20,275; 89.3 ;7,286; 64.2 ;4,398;10,070;50,150;47,460;94.6;15,052; 71.4 ;16,038; 76.1 ;10,882;3,735; 34.3 ;916; 8.4 ;PACIFICO
20;CESAR; 22,036 ;21,041;95.50;19,987;90.70;400;1.80;20,387;92.50;23,669;107.40;22,343;101.40;23,664;107.40;23,274;105.60;22,352;101.40;22,786;103.40;22,531;102.20;19,771;89.70;15,155;68.80;23,803;108.00;23,297;105.70; 22,925 ;22,649;98.8;22,425;97.80;22,669;98.90;21,348;93.10;22,311;97.30;242;1.06;396;397;20,832;90.90;20,848;90.90;24,608;21,523; 87.5 ;21,488; 87.3 ;21,628; 87.9 ;8,558; 69.6 ;4,157;8,027;30,611;30,443;99.5;17,623; 80.0 ;19,301; 87.6 ;10,009;2,737; 27.3 ;747; 7.5 ;CARIBE
27;CHOCO; 10,459 ;8,314;79.50;4,408;42.10;1,907;18.20;6,315;60.40;9,854;94.20;8,663;82.80;9,851;94.20;9,321;89.10;8,666;82.90;7,965;76.20;8,008;76.60;8,992;86.00;5,455;52.20;9,867;94.30;9,311;89.00; 11,791 ;10,158;86.2;10,124;85.90;10,154;86.10;10,426;88.40;9,746;82.70;183;1.55;588;87;7,136;60.50;7,137;60.50;12,901;8,208; 63.6 ;8,207; 63.6 ;8,280; 64.2 ;2,922; 45.3 ;8,196;3,926;11,857;7,854;66.2;6,098; 58.3 ;6,101; 58.3 ;5,464;1,480; 27.1 ;422; 7.7 ;PACIFICO
23;CORDOBA; 30,290 ;24,127;79.70;23,529;77.70;418;1.40;23,947;79.10;25,996;85.80;26,349;87.00;26,006;85.90;25,861;85.40;26,363;87.00;25,486;84.10;25,460;84.10;24,490;80.90;18,760;61.90;26,085;86.10;25,973;85.70; 30,629 ;27,134;88.6;26,562;86.70;27,083;88.40;26,749;87.30;27,091;88.40;94;0.31;151;248;26,710;87.20;26,715;87.20;31,706;27,099; 85.5 ;27,041; 85.3 ;27,114; 85.5 ;9,979; 62.9 ;12,498;9,685;56,116;24,014;42.8;21,026; 69.4 ;21,312; 70.4 ;15,629;3,990; 25.5 ;848; 5.4 ;CARIBE
25;CUNDINAMARCA; 33,896 ;19,095;56.30;18,980;56.00;39;0.10;19,019;56.10;31,080;91.70;32,898;97.10;31,119;91.80;31,818;93.90;32,913;97.10;30,722;90.60;31,432;92.70;27,353;80.70;21,915;64.70;31,372;92.60;31,894;94.10; 35,671 ;34,486;96.7;34,351;96.30;34,576;96.90;32,166;90.20;33,934;95.10;528;1.48;370;1,289;32,612;91.40;32,705;91.70;37,992;36,125; 95.1 ;35,918; 94.5 ;36,238; 95.4 ;12,303; 64.8 ;15,877;20,286;102,371;77,880;76.1;22,994; 67.8 ;24,742; 73.0 ;21,415;5,220; 24.4 ;1,290; 6.0 ;ANDINA
94;GUAINIA; 802 ;991;123.60;385;48.00;421;52.50;806;100.50;1,029;128.30;874;109.00;1,029;128.30;944;117.70;876;109.20;841;104.90;802;100.00;508;63.30;306;38.20;1,042;129.90;937;116.80; 970 ;954;98.4;957;98.70;971;100.10;955;98.50;862;88.90;42;4.33;83;78;689;71.00;693;71.40;902;812; 90.0 ;816; 90.5 ;830; 92.0 ;251; 55.7 ;757;837;926;1,175;126.9;436; 54.4 ;564; 70.3 ;484;242; 50.0 ;34; 7.0 ;AMAZONIA
95;GUAVIARE; 1,316 ;1,311;99.60;1,233;93.70;53;4.00;1,286;97.70;1,381;104.90;1,354;102.90;1,381;104.90;1,395;106.00;1,354;102.90;1,320;100.30;1,347;102.40;1,198;91.00;910;69.10;1,382;105.00;1,401;106.50; 1,328 ;1,346;101.4;1,312;98.80;1,344;101.20;1,372;103.30;1,342;101.10;3;0.23;9;3;1,239;93.30;1,239;93.30;1,604;1,254; 78.2 ;1,255; 78.2 ;1,252; 78.1 ;423; 52.7 ;336;466;2,822;1,353;47.9;858; 65.2 ;1,076; 81.8 ;740;355; 48.0 ;110; 14.9 ;AMAZONIA
41;HUILA; 19,108 ;17,681;92.50;16,704;87.40;941;4.90;17,645;92.30;17,348;90.80;17,640;92.30;17,352;90.80;17,400;91.10;17,637;92.30;17,266;90.40;17,281;90.40;15,492;81.10;12,358;64.70;17,453;91.30;17,466;91.40; 19,740 ;18,370;93.1;18,326;92.80;18,415;93.30;17,873;90.50;18,288;92.60;70;0.35;76;128;18,084;91.60;18,084;91.60;20,558;19,364; 94.2 ;19,369; 94.2 ;19,415; 94.4 ;7,772; 75.6 ;5,037;9,194;39,383;35,606;90.4;14,178; 74.2 ;15,668; 82.0 ;9,964;4,154; 41.7 ;1,256; 12.6 ;ANDINA
44;LA GUAJIRA; 20,021 ;22,126;110.50;18,693;93.40;1,690;8.40;20,383;101.80;22,517;112.50;19,161;95.70;22,582;112.80;20,889;104.30;19,166;95.70;19,470;97.20;18,796;93.90;18,603;92.90;12,162;60.70;22,632;113.00;20,633;103.10; 21,194 ;20,990;99.0;20,844;98.30;21,049;99.30;15,299;72.20;19,778;93.30;720;3.40;873;2,293;15,454;72.90;15,298;72.20;22,189;18,534; 83.5 ;18,237; 82.2 ;18,464; 83.2 ;2,700; 24.3 ;8,710;5,466;24,740;8,073;32.6;11,445; 57.2 ;14,541; 72.6 ;8,009;2,529; 31.6 ;494; 6.2 ;CARIBE
47;MAGDALENA; 16,542 ;12,483;75.50;11,684;70.60;425;2.60;12,109;73.20;16,254;98.30;15,460;93.50;16,411;99.20;16,147;97.60;15,691;94.90;15,741;95.20;15,548;94.00;13,352;80.70;10,276;62.10;16,321;98.70;16,043;97.00; 17,244 ;16,138;93.6;16,025;92.90;16,130;93.50;16,442;95.30;15,985;92.70;181;1.05;213;408;15,067;87.40;15,169;88.00;18,145;15,642; 86.2 ;15,629; 86.1 ;15,439; 85.1 ;5,250; 57.9 ;6,244;5,111;25,762;11,737;45.6;12,288; 74.3 ;12,527; 75.7 ;7,950;2,719; 34.2 ;608; 7.6 ;CARIBE
47001;SANTA MARTA; 8,754 ;9,280;106.00;8,722;99.60;473;5.40;9,195;105.00;9,421;107.60;8,358;95.50;9,376;107.10;8,924;101.90;8,310;94.90;8,829;100.90;8,475;96.80;7,086;80.90;4,883;55.80;9,526;108.80;8,941;102.10; 8,761 ;8,275;94.5;8,527;97.30;8,590;98.00;7,389;84.30;8,360;95.40;168;1.92;144;376;7,260;82.90;7,377;84.20;9,365;7,853; 83.9 ;7,685; 82.1 ;7,515; 80.2 ;2,267; 48.4 ;2,433;3,700;15,498;9,235;59.6;5,718; 65.3 ;6,830; 78.0 ;4,490;859; 19.1 ;118; 2.6 ;CARIBE
50;META; 15,295 ;15,102;98.70;15,155;99.10;33;0.20;15,188;99.30;14,394;94.10;14,082;92.10;14,435;94.40;14,303;93.50;14,077;92.00;14,078;92.00;13,945;91.20;12,083;79.00;7,713;50.40;14,628;95.60;14,355;93.90; 15,688 ;15,009;95.7;14,839;94.60;14,869;94.80;15,142;96.50;14,722;93.80;149;0.95;150;128;13,815;88.10;13,875;88.40;16,814;14,841; 88.3 ;14,914; 88.7 ;14,845; 88.3 ;5,365; 63.8 ;10,972;7,758;31,346;20,213;64.5;10,789; 70.5 ;12,065; 78.9 ;8,487;3,036; 35.8 ;744; 8.8 ;LLANOS
52;NARIÑO; 20,024 ;17,141;85.60;15,689;78.40;1,100;5.50;16,789;83.80;17,444;87.10;17,243;86.10;17,447;87.10;17,388;86.80;17,226;86.00;16,936;84.60;17,033;85.10;15,156;75.70;12,429;62.10;17,497;87.40;17,421;87.00; 20,729 ;18,356;88.6;18,355;88.50;18,411;88.80;17,366;83.80;18,249;88.00;89;0.43;182;204;17,391;83.90;17,389;83.90;22,304;19,070; 85.5 ;19,069; 85.5 ;19,160; 85.9 ;8,172; 73.3 ;5,017;9,264;62,101;67,421;108.6;13,686; 68.3 ;14,895; 74.4 ;13,201;7,053; 53.4 ;4,215; 31.9 ;PACIFICO
54;NORTE DE SANTANDER; 22,545 ;19,759;87.60;19,431;86.20;136;0.60;19,567;86.80;23,151;102.70;22,442;99.50;23,170;102.80;22,572;100.10;22,524;99.90;22,251;98.70;21,845;96.90;21,325;94.60;14,707;65.20;23,788;105.50;22,701;100.70; 22,922 ;22,433;97.9;19,185;83.70;22,461;98.00;24,433;106.60;21,293;92.90;582;2.54;553;553;18,581;81.10;18,574;81.00;23,003;20,368; 88.5 ;20,290; 88.2 ;20,319; 88.3 ;7,331; 63.7 ;14,297;13,753;48,341;51,357;106.2;15,959; 70.8 ;17,151; 76.1 ;11,287;3,218; 28.5 ;954; 8.5 ;ANDINA
86;PUTUMAYO; 4,724 ;4,108;87.00;3,802;80.50;215;4.60;4,017;85.00;4,633;98.10;4,629;98.00;4,631;98.00;4,683;99.10;4,632;98.10;4,505;95.40;4,577;96.90;2,754;58.30;2,299;48.70;4,664;98.70;4,682;99.10; 4,982 ;4,785;96.0;4,763;95.60;4,820;96.70;4,932;99.00;4,715;94.60;39;0.78;51;70;4,578;91.90;4,579;91.90;5,461;4,927; 90.2 ;4,985; 91.3 ;5,000; 91.6 ;1,858; 68.0 ;547;1,468;8,818;9,035;102.5;2,955; 62.6 ;3,769; 79.8 ;2,820;1,450; 51.4 ;592; 21.0 ;AMAZONIA
63;QUINDIO; 5,600 ;5,454;97.40;4,848;86.60;593;10.60;5,441;97.20;5,186;92.60;5,177;92.40;5,174;92.40;5,220;93.20;5,171;92.30;5,209;93.00;5,283;94.30;3,904;69.70;3,514;62.80;5,326;95.10;5,282;94.30; 5,784 ;5,523;95.5;5,491;94.90;5,519;95.40;5,492;95.00;5,463;94.50;17;0.29;19;39;5,478;94.70;5,483;94.80;6,398;5,740; 89.7 ;5,698; 89.1 ;5,695; 89.0 ;2,290; 71.6 ;3,984;6,535;26,909;23,310;86.6;3,992; 71.3 ;4,881; 87.2 ;3,791;1,496; 39.5 ;546; 14.4 ;ANDINA
66;RISARALDA; 10,258 ;10,691;104.20;10,161;99.10;410;4.00;10,571;103.10;10,046;97.90;10,122;98.70;10,061;98.10;10,058;98.10;10,130;98.80;9,823;95.80;9,814;95.70;7,915;77.20;6,161;60.10;10,151;99.00;10,089;98.40; 10,714 ;10,612;99.0;10,914;101.90;10,946;102.20;10,145;94.70;10,407;97.10;237;2.21;179;326;10,540;98.40;10,614;99.10;12,356;10,950; 88.6 ;10,946; 88.6 ;11,065; 89.6 ;4,029; 65.2 ;5,073;10,274;44,520;39,890;89.6;6,518; 63.5 ;9,006; 87.8 ;6,910;2,062; 29.8 ;645; 9.3 ;ANDINA
88;SAN_ANDRES_ISLA; 853 ;733;85.90;443;51.90;288;33.80;731;85.70;761;89.20;768;90.00;762;89.30;768;90.00;762;89.30;750;87.90;759;89.00;528;61.90;437;51.20;765;89.70;769;90.20; 871 ;788;90.5;781;89.70;788;90.50;697;80.00;785;90.10;1;0.11;2;2;717;82.30;720;82.70;922;786; 85.2 ;785; 85.1 ;785; 85.1 ;320; 69.4 ;1,454;1,430;3,063;1,184;38.7;540; 63.3 ;697; 81.7 ;440;109; 24.8 ;27; 6.1 ;CARIBE
68;SANTANDER; 30,892 ;25,909;83.90;25,807;83.50;188;0.60;25,995;84.10;27,092;87.70;26,666;86.30;27,064;87.60;26,643;86.20;26,698;86.40;26,553;86.00;26,380;85.40;25,628;83.00;20,431;66.10;27,201;88.10;26,730;86.50; 31,319 ;27,967;89.3;28,119;89.80;28,193;90.00;27,003;86.20;27,823;88.80;259;0.83;212;330;27,024;86.30;26,946;86.00;32,843;27,991; 85.2 ;27,703; 84.3 ;27,894; 84.9 ;8,560; 52.1 ;9,736;10,466;85,600;66,532;77.7;20,387; 66.0 ;22,440; 72.6 ;15,522;4,405; 28.4 ;1,388; 8.9 ;ANDINA
70;SUCRE; 14,028 ;14,046;100.10;12,306;87.70;1,756;12.50;14,062;100.20;14,500;103.40;14,332;102.20;14,498;103.40;14,522;103.50;14,327;102.10;14,195;101.20;14,256;101.60;10,605;75.60;9,839;70.10;14,524;103.50;14,544;103.70; 14,828 ;14,824;100.0;14,654;98.80;14,845;100.10;14,882;100.40;14,818;99.90;25;0.17;55;74;14,789;99.70;14,794;99.80;16,825;14,897; 88.5 ;14,912; 88.6 ;14,911; 88.6 ;6,343; 75.4 ;8,428;5,882;30,602;23,103;75.5;11,633; 82.9 ;12,626; 90.0 ;7,967;2,164; 27.2 ;773; 9.7 ;CARIBE
73;TOLIMA; 17,210 ;14,521;84.40;11,321;65.80;3,027;17.60;14,348;83.40;16,107;93.60;16,283;94.60;16,126;93.70;16,073;93.40;16,267;94.50;15,964;92.80;16,041;93.20;15,204;88.30;11,217;65.20;16,177;94.00;16,184;94.00; 17,543 ;17,072;97.3;17,010;97.00;17,116;97.60;16,729;95.40;17,054;97.20;70;0.40;59;141;16,737;95.40;16,880;96.20;19,419;17,476; 90.0 ;17,459; 89.9 ;17,524; 90.2 ;6,490; 66.8 ;14,069;9,932;62,277;39,520;63.5;11,274; 65.5 ;13,157; 76.4 ;11,203;3,496; 31.2 ;1,001; 8.9 ;ANDINA
76;VALLE_DEL_CAUCA; 51,369 ;44,911;87.40;44,258;86.20;647;1.30;44,905;87.40;51,437;100.10;51,145;99.60;51,244;99.80;51,168;99.60;51,262;99.80;50,771;98.80;50,820;98.90;44,276;86.20;36,326;70.70;51,228;99.70;51,039;99.40; 52,931 ;52,454;99.1;52,255;98.70;52,209;98.60;50,974;96.30;51,927;98.10;359;0.68;194;1,057;51,210;96.70;51,031;96.40;55,169;53,306; 96.6 ;53,660; 97.3 ;52,659; 95.5 ;23,167; 84.0 ;58,213;47,544;184,481;110,206;59.7;36,045; 70.2 ;38,612; 75.2 ;27,948;15,102; 54.0 ;5,978; 21.4 ;PACIFICO
76109;BUENAVENTURA; 4,932 ;4,192;85.00;3,690;74.80;471;9.50;4,161;84.40;4,337;87.90;3,815;77.40;4,342;88.00;4,114;83.40;3,820;77.50;3,906;79.20;3,781;76.70;3,394;68.80;2,400;48.70;4,314;87.50;4,044;82.00; 4,932 ;4,202;85.2;4,013;81.40;4,223;85.60;3,097;62.80;4,035;81.80;127;2.58;178;222;3,208;65.00;3,192;64.70;5,799;3,863; 66.6 ;3,811; 65.7 ;3,789; 65.3 ;973; 33.6 ;6,831;4,144;12,123;3,694;30.5;3,285; 66.6 ;3,428; 69.5 ;3,373;778; 23.1 ;98; 2.9 ;PACIFICO
97;VAUPES; 789 ;760;96.30;292;37.00;307;38.90;599;75.90;695;88.10;587;74.40;683;86.60;662;83.90;605;76.70;644;81.60;597;75.70;550;69.70;373;47.30;664;84.20;641;81.20; 817 ;735;90.0;741;90.70;743;90.90;745;91.20;740;90.60;56;6.85;18;36;526;64.40;523;64.00;785;603; 76.8 ;604; 76.9 ;595; 75.8 ;192; 48.9 ;1,756;684;1,138;861;75.7;415; 52.6 ;670; 84.9 ;361;159; 44.0 ;52; 14.4 ;AMAZONIA
